time	V(N001,N002)	V(n004)
5.440550473599494e-003	-3.230608e-002	1.530228e+000
5.450316098599494e-003	-4.176235e-002	1.539761e+000
5.460081723599494e-003	-5.209452e-002	1.562270e+000
5.469847348599495e-003	-6.314731e-002	1.594250e+000
5.479612973599495e-003	-7.475424e-002	1.632822e+000
5.489378598599494e-003	-8.674097e-002	1.675784e+000
5.499144223599494e-003	-9.892702e-002	1.721555e+000
5.508909848599494e-003	-1.111292e-001	1.769059e+000
5.518675473599495e-003	-1.231641e-001	1.817600e+000
5.528441098599494e-003	-1.348503e-001	1.866756e+000
5.538206723599494e-003	-1.460125e-001	1.916280e+000
5.547972348599494e-003	-1.564827e-001	1.966013e+000
5.557737973599495e-003	-1.661031e-001	2.015846e+000
5.567503598599494e-003	-1.747293e-001	2.065730e+000
5.577269223599494e-003	-1.822314e-001	2.115648e+000
5.587034848599494e-003	-1.884971e-001	2.165593e+000
5.596800473599495e-003	-1.934314e-001	2.215565e+000
5.606566098599494e-003	-1.969602e-001	2.265566e+000
5.616331723599494e-003	-1.990912e-001	2.315598e+000
5.624521186207875e-003	-1.997433e-001	2.357582e+000
5.632322031970935e-003	-1.992753e-001	2.397602e+000
5.642087656970935e-003	-1.973333e-001	2.447740e+000
5.651853281970935e-003	-1.940026e-001	2.497917e+000
5.661618906970934e-003	-1.892583e-001	2.548133e+000
5.671384531970935e-003	-1.831713e-001	2.598383e+000
5.681150156970935e-003	-1.758332e-001	2.648654e+000
5.690915781970935e-003	-1.673548e-001	2.698922e+000
5.700681406970934e-003	-1.578631e-001	2.749148e+000
5.710447031970935e-003	-1.475012e-001	2.799258e+000
5.720212656970935e-003	-1.364245e-001	2.849107e+000
5.729978281970935e-003	-1.248001e-001	2.898412e+000
5.739743906970934e-003	-1.128027e-001	2.946709e+000
5.749509531970934e-003	-1.006128e-001	2.993231e+000
5.759275156970935e-003	-8.841348e-002	3.036650e+000
5.769040781970935e-003	-7.638848e-002	3.074750e+000
5.778806406970934e-003	-6.471866e-002	3.104069e+000
5.788572031970934e-003	-5.357933e-002	3.119565e+000
5.798337656970935e-003	-4.313833e-002	3.114622e+000
5.808103281970935e-003	-3.355253e-002	3.081743e+000
5.817868906970935e-003	-2.496609e-002	3.014221e+000
5.827634531970934e-003	-1.750824e-002	2.908509e+000
5.837400156970935e-003	-1.129112e-002	2.766378e+000
5.847165781970935e-003	-6.408237e-003	2.595636e+000
5.856931406970935e-003	-2.933048e-003	2.408805e+000
5.866697031970934e-003	-8.336278e-004	2.219350e+000
5.874269913567647e-003	-2.419509e-004	2.079397e+000
5.882228633966812e-003	-7.173000e-004	1.947012e+000
5.891994258966812e-003	-2.639066e-003	1.808525e+000
5.901759883966812e-003	-5.955771e-003	1.698165e+000
5.911525508966812e-003	-1.068698e-002	1.617536e+000
5.921291133966812e-003	-1.676148e-002	1.564888e+000
5.931056758966812e-003	-2.408797e-002	1.537071e+000
5.940822383966812e-003	-3.255621e-002	1.530197e+000
5.950588008966812e-003	-4.203886e-002	1.540145e+000
5.960353633966812e-003	-5.239332e-002	1.562964e+000
5.970119258966812e-003	-6.346375e-002	1.595164e+000
5.979884883966812e-003	-7.508373e-002	1.633886e+000
5.989650508966812e-003	-8.707845e-002	1.676946e+000
5.999416133966812e-003	-9.926736e-002	1.722777e+000
6.009181758966812e-003	-1.114675e-001	1.770318e+000
6.018947383966812e-003	-1.234950e-001	1.818882e+000
6.028713008966812e-003	-1.351693e-001	1.868050e+000
6.038478633966812e-003	-1.463141e-001	1.917581e+000
6.048244258966812e-003	-1.567626e-001	1.967317e+000
6.058009883966812e-003	-1.663573e-001	2.017152e+000
6.067775508966812e-003	-1.749539e-001	2.067037e+000
6.077541133966812e-003	-1.824231e-001	2.116956e+000
6.087306758966812e-003	-1.886525e-001	2.166902e+000
6.097072383966812e-003	-1.935487e-001	2.216874e+000
6.106838008966812e-003	-1.970377e-001	2.266876e+000
6.116603633966812e-003	-1.991532e-001	2.316909e+000
6.124126302255402e-003	-1.997523e-001	2.355474e+000
6.132175251709751e-003	-1.992824e-001	2.396767e+000
6.141940876709751e-003	-1.973722e-001	2.446903e+000
6.151706501709752e-003	-1.940634e-001	2.497080e+000
6.161472126709752e-003	-1.893396e-001	2.547296e+000
6.171237751709751e-003	-1.832724e-001	2.597545e+000
6.181003376709751e-003	-1.759524e-001	2.647816e+000
6.190769001709752e-003	-1.674900e-001	2.698085e+000
6.200534626709752e-003	-1.580124e-001	2.748312e+000
6.210300251709751e-003	-1.476624e-001	2.798425e+000
6.220065876709751e-003	-1.365955e-001	2.848279e+000
6.229831501709752e-003	-1.249781e-001	2.897593e+000
6.239597126709752e-003	-1.129850e-001	2.945910e+000
6.249362751709751e-003	-1.007966e-001	2.992468e+000
6.259128376709751e-003	-8.859611e-002	3.035947e+000
6.268894001709752e-003	-7.656693e-002	3.074150e+000
6.278659626709752e-003	-6.489050e-002	3.103635e+000
6.288425251709751e-003	-5.374205e-002	3.119385e+000
6.298190876709751e-003	-4.328930e-002	3.114805e+000
6.307956501709752e-003	-3.368956e-002	3.082404e+000
6.317722126709752e-003	-2.508709e-002	3.015444e+000
6.327487751709751e-003	-1.761138e-002	2.910313e+000
